Date;Average temperature (°F);Average humidity (%);Average dewpoint (°F);Average barometer (in);Average windspeed (mph);Average gustspeed (mph);Average direction (°deg);Rainfall for month (in);Rainfall for year (in);Maximum rain per minute;Maximum temperature (°F);Minimum temperature (°F);Maximum humidity (%);Minimum humidity (%);Maximum pressure;Minimum pressure;Maximum windspeed (mph);Maximum gust speed (mph);Maximum heat index (°F);Date1;Month;diff_pressure
9/02/2009;312;480;132;294;184;254;2680;0;21;0;380;260;80;310;29572;2928;345;490;380;9/02/2009;2;2,92E+16
10/02/2009;258;560;113;297;35;54;3340;0;21;0;330;140;80;360;29997;29537;184;250;330;10/02/2009;2;4,6E+16
11/02/2009;232;530;83;300;64;94;2670;1;22;0;300;100;70;360;30166;29942;276;390;320;11/02/2009;2;2,24E+15
12/02/2009;259;480;79;301;56;84;2980;1;22;0;350;110;80;250;30265;29911;173;260;350;12/02/2009;2;3,54E+15
13/02/2009;199;770;138;301;26;44;670;1;22;0;290;110;80;540;30276;29914;115;140;320;13/02/2009;2;3,62E+15
14/02/2009;205;750;136;301;36;54;2660;3;24;0;310;120;80;430;30163;29874;196;250;320;14/02/2009;2;2,89E+15
15/02/2009;278;320;0;302;138;197;2700;3;24;0;350;160;80;170;30286;29989;322;400;350;15/02/2009;2;2,97E+15
16/02/2009;389;240;47;298;165;241;2770;3;24;0;460;340;40;150;29989;29625;299;440;460;16/02/2009;2;3,64E+16
17/02/2009;325;440;122;296;166;229;2670;3;24;0;370;260;80;270;29812;29473;345;480;370;17/02/2009;2;3,39E+15
18/02/2009;283;420;75;300;102;151;2690;3;24;0;350;240;50;260;30252;29779;242;350;350;18/02/2009;2;4,73E+14
19/02/2009;278;370;43;303;145;200;2560;3;24;0;340;220;50;230;30354;30156;276;380;340;19/02/2009;2;1,98E+15
20/02/2009;279;360;16;301;148;212;2730;3;24;0;370;120;80;130;30312;29928;357;520;370;20/02/2009;2;3,84E+16
21/02/2009;347;290;31;302;109;153;2660;3;24;0;500;80;80;150;30348;30089;276;360;500;21/02/2009;2;2,59E+16
22/02/2009;440;180;21;301;87;124;2650;3;24;0;540;340;20;100;30281;29984;242;350;540;22/02/2009;2;2,97E+16
23/02/2009;447;470;248;299;97;140;2660;3;24;0;530;380;60;270;30059;29844;265;390;530;23/02/2009;2;2,15E+16
24/02/2009;444;410;218;298;157;223;2640;3;24;0;500;370;60;300;29898;2973;403;510;500;24/02/2009;2;1,68E+16
25/02/2009;458;320;156;298;104;148;2650;3;24;0;560;330;80;130;29957;29632;253;360;560;25/02/2009;2;3,25E+15
26/02/2009;352;530;189;298;84;120;2680;3;24;0;430;280;80;240;29874;29682;242;360;430;26/02/2009;2;1,92E+16
27/02/2009;267;450;66;300;98;147;2780;3;24;0;340;180;70;250;30475;29753;288;470;340;27/02/2009;2;7,22E+15
28/02/2009;291;270;-20;305;46;71;3490;3;24;0;420;160;50;100;30629;30404;219;320;420;28/02/2009;2;2,25E+16
1/03/2009;406;210;-3;303;74;106;2420;0;24;0;580;140;50;90;30534;29947;230;380;580;1/03/2009;3;5,87E+15
2/03/2009;540;160;79;299;120;168;2600;0;24;0;620;440;20;110;29961;29726;265;390;620;2/03/2009;3;2,35E+16
3/03/2009;487;300;179;298;118;167;2660;0;24;0;580;310;40;190;29887;29705;276;430;580;3/03/2009;3;1,82E+16
4/03/2009;491;200;74;297;113;156;2590;0;24;0;580;300;50;90;29878;29477;276;380;580;4/03/2009;3;4,01E+15
5/03/2009;385;260;51;297;128;180;2660;0;24;0;460;290;40;140;29913;29473;368;520;460;5/03/2009;3;4,4E+15
6/03/2009;331;360;85;299;62;90;1860;0;24;0;420;250;70;230;29955;2977;288;360;420;6/03/2009;3;1,85E+16
7/03/2009;278;660;170;298;58;84;2630;3;27;0;380;190;80;350;29952;29738;276;370;380;7/03/2009;3;2,14E+15
8/03/2009;369;230;1;298;209;296;2740;3;27;0;470;260;40;100;29909;29626;322;510;470;8/03/2009;3;2,83E+15
9/03/2009;341;410;96;297;69;110;810;3;27;0;440;160;80;210;29844;29542;242;400;440;9/03/2009;3;3,02E+15
10/03/2009;195;510;20;300;127;185;2810;4;28;0;260;110;80;220;30271;29629;380;540;320;10/03/2009;3;6,42E+15
11/03/2009;292;350;27;302;76;105;350;4;28;0;460;110;60;110;30378;30069;196;300;460;11/03/2009;3;3,09E+16
12/03/2009;147;740;78;302;10;20;2920;4;28;0;420;110;80;190;30347;30127;58;80;420;12/03/2009;3;2,2E+16
16/03/2009;463;220;95;300;122;170;2580;4;28;0;570;360;20;150;30076;29873;242;370;570;16/03/2009;3;2,03E+15
17/03/2009;481;290;155;300;100;138;2600;4;28;0;580;360;50;160;30113;29874;288;380;580;17/03/2009;3;2,39E+16
18/03/2009;423;420;199;301;39;58;160;4;28;0;530;290;60;200;30261;29967;184;220;530;18/03/2009;3;2,94E+15
19/03/2009;402;500;197;301;34;51;160;4;28;0;590;210;80;170;30345;29999;219;330;590;19/03/2009;3;3,46E+15
20/03/2009;414;440;200;300;27;42;3290;4;28;0;570;270;60;220;30127;29944;184;250;570;20/03/2009;3;1,83E+16
21/03/2009;433;440;177;300;36;56;2000;4;28;0;630;220;80;120;30165;29725;230;310;630;21/03/2009;3;4,4E+15
22/03/2009;487;290;134;295;88;127;2450;4;28;0;630;300;60;80;29754;29181;299;360;630;22/03/2009;3;5,73E+15
23/03/2009;358;430;154;294;120;176;2760;4;28;0;420;250;60;310;29743;29127;276;430;420;23/03/2009;3;6,16E+15
24/03/2009;307;360;65;299;141;209;2780;4;28;0;390;250;40;270;29995;29686;299;450;390;24/03/2009;3;3,09E+16
25/03/2009;281;470;98;298;63;94;2750;4;28;0;340;180;70;280;29923;2972;219;310;340;25/03/2009;3;2,03E+15
26/03/2009;168;820;123;300;30;49;710;4;28;0;250;90;80;720;30412;29687;207;260;320;26/03/2009;3;7,25E+15
27/03/2009;211;640;92;302;33;50;2810;4;64;0;360;60;80;230;30433;29987;173;260;360;27/03/2009;3;4,46E+15
28/03/2009;331;370;93;299;115;167;2620;4;64;0;430;240;40;230;30017;29775;276;380;430;28/03/2009;3;2,42E+16
29/03/2009;407;390;161;294;134;191;2650;4;64;0;520;300;80;180;29775;29131;276;380;520;29/03/2009;3;6,44E+15
30/03/2009;233;370;8;297;145;209;2730;4;64;0;300;180;50;270;30029;29314;288;410;320;30/03/2009;3;7,15E+15
31/03/2009;258;400;45;298;161;232;2660;4;64;0;330;170;60;270;29977;29661;380;510;330;31/03/2009;3;3,16E+16
1/04/2009;248;670;141;297;59;83;2630;0;64;0;340;102;870;270;30066;2951;184;260;340;1/04/2009;4;5,56E+15
2/04/2009;291;490;117;299;110;152;2740;1;65;0;434;109;820;320;30049;29616;276;440;434;2/04/2009;4;4,33E+16
3/04/2009;365;600;228;294;61;82;3100;1;65;0;461;287;930;300;29616;2935;242;350;461;3/04/2009;4;2,66E+16
4/04/2009;257;670;154;298;85;116;100;24;88;0;337;186;930;400;30302;29377;276;410;337;4/04/2009;4;9,25E+15
5/04/2009;220;550;77;305;39;59;3090;25;89;0;339;95;780;290;30651;3027;173;240;339;5/04/2009;4;3,81E+15
6/04/2009;343;300;38;304;65;98;2980;25;89;0;494;164;520;130;306;3013;219;310;494;6/04/2009;4;4,7E+15
7/04/2009;453;180;39;300;125;171;2500;25;89;0;553;363;310;120;3013;29893;265;360;553;7/04/2009;4;2,37E+16
8/04/2009;496;220;114;295;91;134;2700;25;89;0;607;359;370;110;29925;29277;265;410;607;8/04/2009;4;6,48E+15
9/04/2009;374;470;163;296;105;150;2770;25;89;0;495;291;910;210;29905;2932;345;430;495;9/04/2009;4;5,85E+15
10/04/2009;359;730;272;300;20;36;660;3;94;0;499;264;920;400;30072;29851;104;200;499;10/04/2009;4;2,21E+16
11/04/2009;350;770;282;298;17;28;3400;31;95;0;499;256;890;460;29982;29717;81;130;499;11/04/2009;4;2,65E+16
12/04/2009;349;820;297;299;38;55;80;41;105;0;452;278;920;550;30093;29767;184;260;452;12/04/2009;4;3,26E+15
13/04/2009;427;450;207;299;71;103;2670;41;105;0;557;260;910;210;30142;29783;253;330;557;13/04/2009;4;3,59E+15
14/04/2009;419;520;240;298;20;34;2390;41;105;0;558;291;760;250;29893;29625;207;280;558;14/04/2009;4;2,68E+15
15/04/2009;434;540;253;296;28;45;610;41;105;0;586;266;850;210;29682;29497;184;260;586;15/04/2009;4;1,85E+16
16/04/2009;321;910;298;299;23;36;590;48;112;0;379;267;940;800;3013;29564;138;200;379;16/04/2009;4;5,66E+14
17/04/2009;308;920;288;301;0;0;500;55;119;0;324;294;940;900;30195;30088;0;0;324;17/04/2009;4;1,07E+16
18/04/2009;335;870;299;302;11;17;1490;124;188;0;438;266;930;570;30355;30109;127;210;438;18/04/2009;4;2,46E+16
19/04/2009;374;580;220;304;45;65;2630;13;194;0;508;184;910;300;30553;30143;184;240;508;19/04/2009;4;4,1E+16
20/04/2009;473;380;224;301;79;111;2580;13;194;0;578;365;560;250;30196;30006;219;330;578;20/04/2009;4;1,9E+16
21/04/2009;517;350;232;300;68;100;2690;13;194;0;642;372;680;180;30139;29872;219;260;642;21/04/2009;4;2,67E+16
22/04/2009;470;480;256;299;55;78;2560;13;194;0;621;300;830;170;29992;29759;265;350;621;22/04/2009;4;2,33E+16
23/04/2009;521;350;216;297;56;80;2560;13;194;0;679;331;700;120;29856;29496;311;490;741;23/04/2009;4;3,6E+14
24/04/2009;531;380;248;295;113;147;2960;13;194;0;647;402;760;180;29637;29363;276;390;728;24/04/2009;4;2,74E+15
25/04/2009;347;900;319;298;22;38;690;142;206;0;401;326;930;770;29907;29628;81;120;401;25/04/2009;4;2,79E+15
26/04/2009;371;600;235;298;100;144;2700;158;222;0;443;303;940;350;29923;29654;265;400;443;26/04/2009;4;2,69E+16
27/04/2009;312;800;251;301;41;64;1120;18;244;0;398;254;920;350;30221;29925;196;250;398;27/04/2009;4;2,96E+15
28/04/2009;435;600;292;299;40;62;520;18;244;0;609;264;890;230;30172;29733;196;290;609;28/04/2009;4;4,39E+16
29/04/2009;527;300;196;297;81;113;2450;18;244;0;650;376;650;90;29885;29628;242;330;694;29/04/2009;4;2,57E+16
30/04/2009;429;630;307;299;36;57;520;18;244;0;531;294;790;410;29983;29882;127;180;531;30/04/2009;4;1,01E+16
1/05/2009;372;870;336;301;40;57;500;7;251;0;438;334;940;730;30157;2995;138;180;438;1/05/2009;5;2,07E+16
2/05/2009;377;890;345;299;28;40;510;35;279;0;485;329;940;660;30114;29759;127;160;485;2/05/2009;5;3,55E+15
3/05/2009;421;690;311;299;57;79;3040;41;285;0;534;327;940;360;30052;29844;196;280;534;3/05/2009;5;2,08E+15
4/05/2009;463;500;271;298;85;124;2630;41;285;0;569;369;880;220;29882;29753;242;360;569;4/05/2009;5;1,29E+16
5/05/2009;489;510;310;297;76;113;2690;49;293;0;583;398;870;310;29835;29648;299;390;583;5/05/2009;5;1,87E+16
6/05/2009;544;370;253;298;87;127;2650;49;293;0;689;373;850;150;29844;29641;276;400;745;6/05/2009;5;2,03E+16
7/05/2009;573;300;246;296;71;108;2730;49;293;0;699;445;500;140;29745;29549;299;460;749;7/05/2009;5;1,96E+15
8/05/2009;471;340;188;298;84;130;2860;49;293;0;556;375;520;150;30154;29619;265;350;556;8/05/2009;5;5,35E+15
9/05/2009;427;540;264;300;35;57;690;61;305;0;551;322;900;330;30145;29982;173;260;551;9/05/2009;5;1,63E+16
10/05/2009;380;870;344;301;26;41;680;8;324;0;436;329;930;720;30193;30045;104;140;436;10/05/2009;5;1,48E+15
11/05/2009;511;590;334;299;30;50;260;8;324;0;703;319;920;130;30145;29644;150;260;785;11/05/2009;5;5,01E+15
12/05/2009;578;380;275;295;103;150;2660;8;324;0;716;406;790;120;29681;29311;322;450;762;12/05/2009;5;3,7E+14
13/05/2009;516;230;141;297;112;160;2650;8;324;0;599;418;310;130;30022;29346;299;430;599;13/05/2009;5;6,76E+15
14/05/2009;508;320;195;298;54;83;2910;8;324;0;678;304;600;160;30023;29673;265;350;742;14/05/2009;5;3,5E+15
15/05/2009;526;400;271;298;101;133;3400;8;324;0;634;413;620;150;30034;29617;276;400;634;15/05/2009;5;4,17E+16
16/05/2009;479;570;330;301;44;64;650;8;324;0;607;362;800;350;30246;30022;150;200;607;16/05/2009;5;2,24E+15
17/05/2009;542;440;281;301;31;277;100;8;324;0;713;325;830;160;30281;29945;115;2550;759;17/05/2009;5;3,36E+15
18/05/2009;604;350;273;300;21;452;800;8;324;0;790;360;740;90;30239;29644;161;2550;776;18/05/2009;5;5,95E+15
19/05/2009;619;320;288;297;77;658;3040;8;324;0;767;460;550;150;29964;29471;196;2550;780;19/05/2009;5;4,93E+16
20/05/2009;625;350;334;297;99;611;2830;8;324;0;694;544;520;240;29763;29555;276;2550;770;20/05/2009;5;2,08E+16
21/05/2009;506;720;415;299;32;138;690;8;324;0;557;451;930;450;30048;29747;138;2550;557;21/05/2009;5;3,01E+15
22/05/2009;537;670;409;299;50;981;200;86;33;0;666;372;940;380;30117;29711;184;2550;790;22/05/2009;5;4,06E+16
23/05/2009;489;830;439;300;24;36;500;107;351;0;535;433;930;690;30052;29711;81;120;535;23/05/2009;5;3,41E+15
24/05/2009;507;800;446;298;16;28;3580;116;36;0;610;433;930;590;29938;29707;92;170;610;24/05/2009;5;2,31E+15
25/05/2009;501;680;392;298;68;94;3000;153;397;0;595;432;920;430;29871;29675;184;280;595;25/05/2009;5;1,96E+16
26/05/2009;465;740;380;299;32;48;400;16;404;0;557;392;920;440;30007;29865;161;260;557;26/05/2009;5;1,42E+14
27/05/2009;488;600;328;300;34;51;3380;162;406;0;658;304;930;210;30112;29872;265;740;760;27/05/2009;5;2,4E+16
28/05/2009;497;600;346;300;29;43;190;166;41;0;664;332;900;230;30186;29922;161;210;769;28/05/2009;5;2,64E+16
29/05/2009;531;560;352;301;31;48;3490;166;41;0;704;343;890;220;30211;29925;219;300;790;29/05/2009;5;2,86E+15
30/05/2009;539;580;383;299;31;50;2870;168;412;0;678;426;780;270;30048;29829;173;260;791;30/05/2009;5;2,19E+16
31/05/2009;563;520;378;298;60;86;2770;168;412;0;699;463;780;240;29864;29683;184;250;790;31/05/2009;5;1,81E+16
1/06/2009;506;770;433;298;23;34;3010;13;428;0;612;416;920;510;2995;29731;138;210;612;1/06/2009;6;2,19E+16
2/06/2009;422;880;389;301;34;53;750;24;439;0;480;392;930;720;303;29829;138;200;480;2/06/2009;6;4,71E+15
3/06/2009;483;750;404;301;47;65;430;26;441;0;629;396;910;390;30244;29942;196;280;629;3/06/2009;6;3,02E+15
4/06/2009;571;510;352;299;49;78;3000;26;441;0;716;403;840;140;30088;29811;207;300;783;4/06/2009;6;2,77E+14
5/06/2009;565;530;359;297;48;73;2510;26;441;0;715;401;890;170;29887;29388;253;300;791;5/06/2009;6;4,99E+15
6/06/2009;590;230;207;295;144;203;2660;27;442;0;668;460;460;140;29594;29392;311;430;731;6/06/2009;6;2,02E+16
7/06/2009;484;470;272;297;69;101;2650;27;442;0;610;334;780;200;29831;29526;357;460;610;7/06/2009;6;3,05E+15
8/06/2009;478;750;399;298;46;65;320;33;448;0;593;385;910;360;29879;2974;173;240;593;8/06/2009;6;1,39E+15
9/06/2009;509;650;377;298;43;64;2780;33;448;0;626;405;930;270;29829;29708;219;290;626;9/06/2009;6;1,21E+16
10/06/2009;513;690;400;297;48;72;320;64;479;0;618;431;920;290;2982;29623;161;220;618;10/06/2009;6;1,97E+16
11/06/2009;489;720;393;298;53;75;2580;75;49;0;602;411;930;370;29893;29699;219;310;602;11/06/2009;6;1,94E+16
12/06/2009;493;700;391;299;37;57;3500;8;495;0;604;365;930;370;29989;29798;242;310;604;12/06/2009;6;1,91E+15
13/06/2009;554;560;387;298;36;56;2940;8;495;0;686;420;850;200;30014;29666;184;260;791;13/06/2009;6;3,48E+14
14/06/2009;551;520;361;297;44;68;1740;81;496;0;683;405;820;180;2989;29658;219;280;789;14/06/2009;6;2,32E+16
15/06/2009;499;680;383;298;44;67;2720;92;507;0;631;386;930;320;29931;29703;288;360;631;15/06/2009;6;2,28E+16
16/06/2009;513;660;373;299;31;47;3000;93;508;0;739;347;930;180;29981;2976;207;290;787;16/06/2009;6;2,21E+16
17/06/2009;573;500;356;297;46;71;2770;93;508;0;732;396;870;180;29908;29573;207;260;791;17/06/2009;6;3,35E+16
18/06/2009;587;390;324;296;70;104;2660;93;508;0;713;423;690;190;29711;29546;253;320;786;18/06/2009;6;1,65E+16
19/06/2009;581;440;358;297;52;81;2550;93;508;0;684;467;610;270;2978;29599;219;310;787;19/06/2009;6;1,81E+16
20/06/2009;545;700;446;296;22;36;2480;98;513;0;643;461;920;490;29739;29543;184;210;643;20/06/2009;6;1,96E+15
21/06/2009;614;410;360;296;82;115;2430;98;513;0;737;499;750;190;2969;29511;276;360;790;21/06/2009;6;1,79E+16
22/06/2009;612;520;389;297;52;77;2080;98;513;0;770;398;890;140;29819;29609;265;370;790;22/06/2009;6;2,1E+15
23/06/2009;600;600;431;298;35;49;640;101;516;0;765;411;930;220;29895;2966;196;250;791;23/06/2009;6;2,35E+16
24/06/2009;628;530;429;299;43;56;260;101;516;0;786;428;880;190;29958;29774;138;200;791;24/06/2009;6;1,84E+15
25/06/2009;610;660;485;298;49;56;40;13;545;0;781;473;880;310;29944;29683;138;200;787;25/06/2009;6;2,61E+16
26/06/2009;611;620;467;297;59;67;3340;142;557;0;750;495;920;320;29804;29572;196;250;791;26/06/2009;6;2,32E+16
27/06/2009;639;430;390;299;85;86;3570;142;557;0;761;536;700;140;30001;29697;184;260;790;27/06/2009;6;3,04E+16
28/06/2009;620;560;436;299;70;83;220;142;557;0;753;428;920;270;30049;2978;138;200;786;28/06/2009;6;2,69E+16
29/06/2009;625;490;397;298;47;57;210;143;558;0;788;432;860;160;29947;29731;207;290;790;29/06/2009;6;2,16E+16
30/06/2009;630;370;315;298;39;51;250;143;558;0;812;406;740;110;2993;29689;161;240;791;30/06/2009;6;2,41E+16
1/07/2009;620;460;375;298;49;60;3590;4;561;0;792;412;910;150;29881;29686;242;300;792;1/07/2009;7;1,95E+16
2/07/2009;588;750;500;299;46;46;0;29;586;0;758;449;940;410;3009;2979;115;120;782;2/07/2009;7;3E+15
3/07/2009;609;680;491;299;52;58;3340;39;596;0;731;532;920;390;29948;29773;196;260;789;3/07/2009;7;1,75E+15
4/07/2009;562;790;497;300;48;53;120;78;636;0;668;457;920;580;30078;29858;138;200;773;4/07/2009;7;2,2E+16
5/07/2009;557;750;471;300;40;51;360;78;636;0;693;416;950;470;30115;29845;173;250;782;5/07/2009;7;2,7E+15
6/07/2009;592;560;405;298;51;67;3480;78;636;0;740;412;940;200;29995;29654;265;330;791;6/07/2009;7;3,41E+15
7/07/2009;625;510;400;297;46;58;3370;78;636;0;814;422;820;130;29831;29605;184;280;793;7/07/2009;7;2,26E+15
8/07/2009;655;430;348;297;87;101;3150;78;636;0;805;448;930;120;29768;29564;253;320;787;8/07/2009;7;2,04E+16
9/07/2009;604;550;431;298;98;101;40;78;636;0;758;409;860;280;29834;29678;150;200;782;9/07/2009;7;1,56E+15
10/07/2009;618;550;402;299;76;81;3580;78;636;0;811;428;870;130;30016;29819;161;260;791;10/07/2009;7;1,97E+16
11/07/2009;661;490;419;299;50;60;100;78;636;0;853;467;870;140;30109;29792;184;240;822;11/07/2009;7;3,17E+16
12/07/2009;671;430;424;299;81;81;3580;78;636;0;781;532;740;270;29966;29768;115;120;791;12/07/2009;7;1,98E+15
13/07/2009;635;540;427;298;109;120;3440;8;638;0;826;438;880;210;29992;29623;173;250;803;13/07/2009;7;3,69E+15
14/07/2009;681;350;358;297;127;127;0;81;639;0;814;504;690;130;29865;29605;127;130;793;14/07/2009;7;2,6E+14
15/07/2009;649;370;319;299;127;127;0;81;639;0;817;425;770;90;29972;29839;127;130;793;15/07/2009;7;1,33E+16
16/07/2009;640;340;316;299;77;80;3580;81;639;0;807;422;670;100;30031;29832;150;200;790;16/07/2009;7;1,99E+16
17/07/2009;630;380;346;300;33;37;70;81;639;0;783;428;670;130;30063;29905;173;240;791;17/07/2009;7;1,58E+15
18/07/2009;612;580;446;300;75;76;20;81;639;0;767;429;880;300;30127;29924;104;130;791;18/07/2009;7;2,03E+15
19/07/2009;664;430;379;299;38;38;3600;81;639;0;847;438;870;140;29996;29678;104;100;817;19/07/2009;7;3,18E+16
20/07/2009;700;340;386;297;45;59;3340;81;639;0;824;581;800;140;29881;29595;184;260;800;20/07/2009;7;2,86E+16
21/07/2009;595;740;505;299;26;31;390;82;64;0;703;528;890;470;29927;29811;115;170;781;21/07/2009;7;1,16E+16
22/07/2009;599;640;461;299;39;45;180;118;676;0;777;449;910;210;30011;29772;173;200;787;22/07/2009;7;2,39E+16
23/07/2009;635;510;423;299;41;51;260;125;683;0;801;452;860;200;30015;29724;184;260;791;23/07/2009;7;2,91E+16
24/07/2009;655;440;385;298;64;73;70;125;683;0;845;441;770;140;29919;29693;173;240;816;24/07/2009;7;2,26E+15
25/07/2009;593;720;496;299;74;79;110;17;728;0;725;480;930;510;30075;29787;173;200;782;25/07/2009;7;2,88E+16
26/07/2009;601;730;503;300;51;58;10;17;728;0;740;496;950;390;30081;29885;127;170;780;26/07/2009;7;1,96E+16
27/07/2009;569;720;470;300;45;51;130;188;746;0;733;445;930;420;30119;29838;207;210;784;27/07/2009;7;2,81E+15
28/07/2009;536;810;474;299;35;39;190;201;759;0;623;432;940;620;29982;29817;138;180;623;28/07/2009;7;1,65E+16
29/07/2009;498;880;463;299;48;51;190;225;783;0;598;436;940;640;30028;29797;127;160;598;29/07/2009;7;2,31E+15
30/07/2009;481;860;439;300;51;53;60;235;793;0;559;428;940;670;30115;29963;127;170;559;30/07/2009;7;1,52E+16
31/07/2009;550;660;411;299;58;71;3380;237;795;0;725;393;950;240;30075;29826;242;260;790;31/07/2009;7;2,49E+16
1/08/2009;575;640;435;300;49;62;140;1;795;0;735;386;940;220;30153;29897;173;260;792;1/08/2009;8;2,56E+15
2/08/2009;653;390;345;298;55;75;3220;1;795;0;822;433;820;130;29938;29659;196;260;798;2/08/2009;8;2,79E+15
3/08/2009;644;380;344;298;60;76;3330;1;795;0;824;446;720;130;29881;29716;184;260;800;3/08/2009;8;1,65E+16
4/08/2009;619;510;407;299;53;62;40;6;80;0;816;449;740;150;29971;2981;161;220;795;4/08/2009;8;1,61E+16
